Desc,Mile,Elev,Rescaled,Highlight
Dicks Creek Gap,69.8,2647,70.1,-
Cowart Gap,71.6,2883,71.9,
Mr Bert Rd,71.7,2890,72.0,
Buzzard Knob,73.0,3671,73.3,
Bull Gap,73.2,3546,73.5,
Appalachian Trl,73.4,3658,73.7,
Plumorchard Gap,74.4,3106,74.7,-
Plumorchard Gap,74.5,3152,74.8,
As Knob,75.2,3385,75.5,
Charlies Creek Rd,75.7,3015,76.0,
Towns,76.6,3379,76.9,
Rich Cove Gap,76.9,3421,77.2,
Rocky Knob,77.0,3507,77.3,
North Carolina,78.7,3818,79.0,
Appalachian Trl,78.8,3789,79.1,
Bly Gap,78.9,3782,79.2,
Sharp Top,79.3,4271,79.6,
Courthouse Bald,80.2,4642,80.5,
Sassafras Gap,80.8,4274,81.1,
Muskrat Creek,81.7,4563,82.0,
Whiteoak Stamp,82.1,4543,82.4,
Wateroak Gap,83.6,4461,83.9,
Macon,84.6,4835,85.0,
Yellow Mountain,84.9,4753,85.3,
National Forest Rd,85.7,4337,86.1,
Deep Gap,85.8,4333,86.2,
Macon,86.0,4455,86.4,
Southern Nantahala Wilderness,86.3,4580,86.7,
Standing Indian,86.7,4734,87.1,-
Clay,86.8,4780,87.2,
National Forest Rd,87.2,4914,87.6,
National Forest Rd,87.4,5019,87.8,
National Forest Rd,87.6,5121,88.0,
Beech Gap,91.2,4438,91.6,
Kilby Creek,91.9,4471,92.3,
Coleman Gap,92.9,4209,93.3,
Timber Ridge,94.0,4648,94.4,
Carter Gap (old shelter),94.4,4517,94.8,
Southern Nantahala Wilderness,95.4,4917,95.8,
Little Ridgepole Mountain,96.7,4744,97.1,
Betty Creek Gap,98.2,4284,98.6,
Ball Creek Rd,99.1,4491,99.5,
Big Butt,99.4,4688,99.8,
Bearpen Gap,99.9,4730,100.3,
Albert Mountain,100.6,5206,101.0,
Albert Mountain,100.7,5213,101.1,
Big Spring Gap Shelter,101.2,4954,101.6,-
Pinnacle Mountain,101.3,4963,101.7,
Glassmine Gap,104.4,4140,104.8,
Rock Gap,106.6,3828,107.0,
USFS 67 (Rock Gap),106.8,3733,107.2,
Middle Gap,107.3,3677,107.7,
Wallace Gap,107.4,3727,107.8,
Winding Stair Gap,110.5,3690,111.0,
Winding Stair Gap,110.6,3684,111.1,
Swinging Lick Gap,111.7,4064,112.2,
Panther Knob,112.5,4442,113.0,
Panther Gap,112.7,4448,113.2,
Big Stamp,113.1,4350,113.6,
Snowbird Gap,114.2,4681,114.7,
Siler Bald,114.6,4845,115.1,-
Wayah Crest,116.5,4245,117.0,
Wayah Gap,116.6,4183,117.1,
No Official Name Or Unknown,117.9,4625,118.4,
National Forest Rd,118.4,5006,118.9,
Wayah Bald parking area,120.6,5269,121.1,
Appalachian Trl,120.7,5282,121.2,
Wayah Bald,120.8,5334,121.3,
Wayah Bald Shelter,121.7,4645,122.2,
Licklog Gap,123.2,4399,123.7,
Burningtown Gap,125.5,4206,126.0,
Cold Spring,126.7,4898,127.2,
Copper Ridge Bald,127.4,5137,127.9,
Tellico Bald,127.8,4993,128.3,
Black Bald,128.3,4973,128.8,
Rocky Bald,128.7,5019,129.2,
Macon,129.5,4537,130.0,
Appalachian Trl,130.3,4015,130.8,
State Rd 1365,130.4,3858,130.9,
Appalachian Trl,131.7,4534,132.2,
Wesser Bald,131.8,4586,132.4,
Wesser Bald Shelter,132.7,4120,133.3,-
Fork Mountain,132.8,4153,133.4,
Swain,134.1,4028,134.7,
Swain,136.9,2516,137.5,
Rufus Morgan,137.6,2083,138.2,
Silvermine Rd,138.4,1729,139.0,
Nantahala Gorge,138.5,1719,139.1,-
Lake/pond/tank,138.6,1751,139.2,
Flint Ridge,139.8,2431,140.4,
Watia Rd,140.1,2401,140.7,
Grassy Gap,141.5,3028,142.1,
Grassy Top,142.0,3303,142.6,
Rock Creek,142.9,3631,143.5,
Swim Bald,144.5,4698,145.1,
Swain,144.6,4639,145.2,
Graham,144.9,4576,145.5,
Sassafras Gap,145.4,4386,146.0,-
Cheoah Bald,146.5,5049,147.1,
Appalachian Trl,146.8,4917,147.4,
Locust Cove Gap,149.1,3645,149.7,
Simp Gap,150.2,3536,150.8,
Stecoah Gap,152.3,3129,152.9,
Appalachian Trl,152.8,3293,153.4,
Sweetwater Gap,153.4,3277,154.0,
Brown Fork Gap,154.6,3841,155.2,
Brown Fork Gap,155.0,3592,155.6,
Cody Gap,157.7,3608,158.4,
Graham,159.8,3159,160.5,
Yellow Creek Gap,160.0,3008,160.7,
Yellow Creek Gap,160.1,2936,160.8,
Cable Gap,160.9,2864,161.6,-
Cable Gap,161.1,3024,161.8,
Yellow Creek Mountains,162.0,3585,162.7,
Black Gum Gap,162.3,3448,163.0,
Bee Cove Lead,163.3,3697,164.0,
Higlon Ridge,163.6,3546,164.3,
Walker Gap,163.7,3467,164.4,
Appalachian Trl,163.8,3425,164.5,
Appalachian Trl,163.9,3343,164.6,
State Hwy 28,166.4,1745,167.1,
Fontana Dam  NC 28733,166.4,1745,167.1,
Lake/pond/tank,166.5,1725,167.2,
Fontana Dam,167.3,1797,168.0,
Fontana Dam Rd,167.4,1814,168.1,
Fontana Dam Picnic Area,167.5,1850,168.2,
Fontana Dam Visitors Center,167.9,1725,168.6,
Lake/pond/tank,168.0,1673,168.7,
Swain,168.1,1669,168.8,
Fontana Lake,168.2,1663,168.9,
Fontana Dam North Trailhead,169.0,1876,169.7,
Shuckstack,172.4,3841,173.1,-
Sassafras Gap,172.7,3674,173.4,
Red Ridge Gap,173.3,3704,174.0,
Birch Spring Gap,173.6,3720,174.3,
Doe Ridge,175.5,4258,176.2,
Buck Gap,175.8,4419,176.5,
Doe Knob,175.9,4484,176.6,
Mud Gap,176.3,4350,177.0,
Powell Ridge,176.4,4324,177.1,
Powell Knob,176.6,4327,177.3,
North Carolina,176.9,4094,177.6,
Blount,177.0,3999,177.7,
Ekaneetlee Gap,177.3,3845,178.0,
Ekaneetlee Creek,177.6,4009,178.3,
Lawson Gant Lot,178.6,4353,179.3,
Mollies Ridge Shelter,179.0,4583,179.7,
Devils Tater Patch,179.3,4750,180.0,
Big Grill Ridge,179.4,4675,180.1,
Little Bald,179.7,4747,180.5,
Little Abrams Gap,180.5,4212,181.3,
Big Abrams Gap,181.1,4094,181.9,
Russell Field Shelter,182.2,4340,183.0,
McCampbell Knob,182.4,4327,183.2,
McCampbell Gap,182.5,4307,183.3,
Maple Sugar Gap,183.3,4599,184.1,
Nuna Ridge,183.7,4776,184.5,
Anthony Ridge,184.4,5013,185.2,
Spence Field,185.0,4947,185.8,-
Rocky Top,186.2,5426,187.0,
North Carolina,186.3,5393,187.1,
Blount,186.4,5433,187.2,
Spring,186.9,5449,187.7,
Beechnut Gap,187.9,4862,188.7,
Saddleback Ridge,188.7,5068,189.5,
Brier Knob,188.8,5088,189.6,
Starkey Gap,189.5,4501,190.3,
Sevier,190.0,4668,190.8,
Sugartree Gap,190.2,4402,191.0,
Little Chestnut Bald,191.1,4855,191.9,
Spring,191.3,4839,192.1,
Big Chestnut Bald,191.4,4858,192.2,
Sams Gap,191.6,4727,192.4,
Mount Davis,191.9,4852,192.7,
Hemlock Knob,192.6,4770,193.4,
Cold Spring Knob,193.7,5206,194.5,
Tennessee,194.0,4970,194.8,
Buckeye Gap,194.2,4829,195.0,
North Carolina,194.5,4990,195.3,
Proctor Ridge,195.7,5193,196.5,
Spring,196.8,5436,197.6,
Silers Lead,197.0,5541,197.8,
Silers Bald,197.1,5583,197.9,-
The Narrows,197.4,5301,198.2,
Monteith Ridge,197.7,5400,198.5,
Suli Ridge,198.1,5534,198.9,
Jenkins Knob,198.4,5524,199.2,
Double Spring Gap,198.5,5488,199.3,
Double Spring Gap,198.6,5485,199.4,
Loggy Ridge,200.3,6115,201.1,
Mount Buckley,200.9,6473,201.7,
Clingmans Dome,201.4,6607,202.2,
Clingmans Dome,201.5,6601,202.3,
Mount Love,202.0,6358,202.8,
North Carolina,202.7,6033,203.5,
Collins Gap,203.2,5744,204.0,
Mount Collins,204.3,6171,205.2,
Mount Collins,205.0,5869,205.9,
Clingman's Dome Road (Indian Gap),207.4,5262,208.3,
Indian Gap,208.2,5374,209.1,
State Rte 71,209.1,5000,210.0,-
Mount Ambler,211.6,6089,212.5,
Tennessee,211.8,6033,212.7,
North Carolina,211.9,6036,212.8,
Icewater Spring,212.2,5918,213.1,
Masa Knob,213.0,5587,213.9,
Charlies Bunion,213.4,5423,214.3,
Dry Sluice Gap,213.7,5426,214.6,
The Sawteeth,214.3,5377,215.2,
Porters Gap,214.5,5324,215.4,
Porters Mountain,214.8,5511,215.7,
False Gap,215.7,5226,216.6,
Laurel Top,217.1,5777,218.0,
Hughes Ridge,219.4,5561,220.3,
Pecks Corner,219.5,5561,220.4,
Pecks Corner,219.6,5567,220.5,
Katalsta Ridge,220.5,5833,221.4,
Copper Gap,221.4,5498,222.3,
Sevier,221.9,5830,222.8,
North Carolina,222.1,5951,223.0,
Raven Ridge,222.5,6000,223.4,
Tri-corner Knob,224.9,5908,225.8,-
Tricorner Knob,225.1,5961,226.0,
Haywood,225.3,5944,226.2,
Guyot Spur,226.1,6299,227.0,
Spring,226.3,6302,227.2,
Ramsey Prong,226.6,6276,227.5,
Spring,226.8,6236,227.7,
Old Black,227.3,6240,228.2,
Deer Creek Gap,227.8,6043,228.8,
Yellow Creek Gap,228.5,5915,229.5,
Inadu Knob,228.6,5902,229.6,
Camel Hump Knob,230.0,5068,231.0,
Camel Hump Mountain,230.2,5032,231.2,
Camel Gap,231.1,4675,232.1,
Ross Knob,231.6,4960,232.6,
Cocke,232.0,5045,233.0,
Haywood,232.1,5029,233.1,
Cosby Knob,232.3,5036,233.3,
Cosby Knob,232.7,4786,233.7,
Low Gap,233.4,4238,234.4,
Rocky Face Mountain,234.3,4744,235.3,
Sunup Knob,234.7,4904,235.7,
Cammerer Ridge,235.3,4901,236.3,
Davenport Gap,239.8,2641,240.8,
North Carolina,240.7,2004,241.7,
Mount Sterling Rd,240.8,1994,241.8,
Tennessee,240.9,2063,241.9,-
Tobes Creek,242.2,1381,243.2,
Pigeon River,242.3,1358,243.3,
I-40,242.5,1450,243.5,
Waterville School Road,242.6,1469,243.6,
Snowbird Mountain,248.0,4251,249.0,
Wildcat Top,248.6,4146,249.6,
Holly Bottom Branch,248.8,4045,249.8,
Turkey Gap,249.2,3700,250.2,
Turkey Gap,249.6,3553,250.6,
Deep Gap,250.5,2900,251.5,-
Groundhog Creek,250.7,2982,251.7,
Tennessee,251.9,3526,253.0,
Cherokee National Forest,252.1,3549,253.2,
Flat Ridge,252.7,3861,253.8,
Brown Gap,253.3,3484,254.4,
Brown Gap,253.4,3480,254.5,
Madison,256.1,4242,257.2,
West Fork Little Creek,256.2,4225,257.3,
Max Patch Mountain,256.9,4609,258.0,
Buckeye Ridge,257.9,4235,259.0,
Roaring Fork,258.7,4015,259.8,
Roaring Fork,258.9,3946,260.0,
Roaring Fork (old shelter location),261.7,3540,262.8,
North Carolina,262.2,3513,263.3,
Rattlesnake Branch Rd,262.3,3549,263.4,
Lemon Prong,262.9,3933,264.0,
Walnut Mountain,263.5,4248,264.6,
Fall Branch,264.0,3933,265.1,
Kale Gap,264.3,3677,265.4,
Wolf Creek,264.5,3815,265.6,
Catpen Gap,265.0,4130,266.1,
Bluff Mountain,266.0,4675,267.1,
Jones Branch,268.0,3464,269.1,-
Gorenflo Gap Rd,270.1,2467,271.2,
Taylor Hollow Gap,270.7,2624,271.8,
East Fork Shut-In Creek,271.2,2831,272.3,
Canebrake Ridge,273.0,2585,274.1,
Gragg Gap,273.5,2309,274.6,
Deer Park Mountain,274.2,2585,275.3,
S Serpentine Ave,276.5,1397,277.7,-
Appalachian Trail Hwy,276.6,1345,277.8,
Walnut St,276.8,1338,278.0,
Spring Creek,277.0,1325,278.2,
Andrews Ave S,277.1,1328,278.3,
French Broad River,277.2,1315,278.4,
Silvermine Rd,277.3,1328,278.5,
Silver Mine Creek,277.4,1315,278.6,
Lovers Leap Ridge,279.1,2293,280.3,
Pump Gap,280.2,2096,281.4,
Lake/pond/tank,281.7,2460,282.9,
Mill Ridge Rd,281.8,2536,283.0,
Mill Ridge,282.1,2585,283.3,
US Hwy 70,282.8,2263,284.0,
Silver Mine Creek,283.5,2627,284.7,
North Carolina,284.3,3097,285.5,
Tennessee,285.8,3244,287.0,
Lookout Mountain Rd,286.0,2995,287.2,
Hurricane Gap,286.2,2952,287.4,
Spring Mountain,287.9,3536,289.1,-
Spring Mountain,288.2,3618,289.4,
Deep Gap,289.8,2933,291.0,
Allen Gap,291.7,2227,292.9,
TN 70 (Allen Gap),291.8,2224,293.0,
North Carolina,294.4,3093,295.6,
Greene,294.5,3090,295.7,
Little Laurel,296.6,3654,297.8,-
Seng Ridge,297.9,4721,299.1,
Camp Creek Bald,298.1,4658,299.3,
Little Firescald Knob,299.9,4481,301.2,
Bearwallow Gap,300.1,4406,301.4,
Big Firescald Knob,300.7,4458,302.0,
Fox Cabin Gap,301.6,4169,302.9,
Lick Log Gap,301.9,4101,303.2,
Bald Mountain,302.5,4353,303.8,
Andrew Johnson Mountain,303.1,4261,304.4,
Jerry's Cabin,303.3,4146,304.6,
Chestnutlog Gap,303.4,4120,304.7,
Madison,304.9,4678,306.2,
Big Butt,305.1,4803,306.4,
Coldspring Mountain,305.2,4809,306.5,
Gravel Knob,305.8,4698,307.1,
Coldspring Mountain,307.9,3930,309.2,
Unicoi,308.3,3490,309.6,
Flint Mountain,309.1,3566,310.4,
Locust Ridge,310.3,3389,311.6,
Devil's Fork Gap,311.8,3097,313.1,
State Hwy 212,311.9,3097,313.2,-
Laurel Branch,312.4,2952,313.7,
Sugarloaf Branch,312.8,3218,314.1,
Sugarloaf Gap,313.9,3982,315.2,
Unicoi,314.7,4291,316.0,
North Carolina,314.9,4406,316.2,
Divide Mountain,315.5,4563,316.8,
Rice Gap,317.3,3832,318.6,
Hog Back Ridge,318.6,4307,319.9,
High Rock,319.2,4432,320.5,
State Hwy 81,320.9,3756,322.2,
Street Gap,323.2,4104,324.5,
Streets Gap Rd,323.3,4130,324.6,
Unicoi,325.3,4645,326.7,
Big Bald,327.3,5501,328.7,
National Forests in North Carolina,327.5,5423,328.9,
Bald Mountain,328.6,5101,330.0,
Little Bald,330.0,5118,331.4,
Whistling Gap,332.0,3845,333.4,-
High Rocks,332.7,4258,334.1,
Yancey,333.3,3914,334.7,
Big Creek,334.0,3477,335.4,
Spivey Gap,334.5,3169,335.9,
Flattop Mountain Branch,335.8,3818,337.2,
Barnett Branch,336.6,3507,338.0,
Cherokee National Forest,336.7,3438,338.1,
No Business Knob,339.4,3166,340.8,
Long Branch,339.7,3175,341.1,
Temple Hill Gap,341.8,2831,343.2,
Mine Branch,342.2,3120,343.6,
Temple Ridge,343.2,3162,344.6,
Cliff Ridge,345.2,2040,346.6,
Unaka Springs Rd,345.7,1683,347.1,-
Old Asheville Rd,345.8,1669,347.2,
Jones Branch Rd,345.9,1686,347.3,
Jones Branch,347.1,1715,348.5,
Jones Branch,347.6,1784,349.1,
Jones Branch,347.9,1919,349.4,
Jones Branch,348.5,2089,350.0,
Tennessee,348.9,2329,350.4,
Curly Maple Gap,350.0,3047,351.5,
Curley Maple Gap,350.2,3083,351.7,
Martin Creek,351.2,3287,352.7,
National Forests in North Carolina,354.1,3435,355.6,
Ephriam Place Rd,354.2,3346,355.7,
Unaka Mountains,355.7,3963,357.2,
Beauty Spot,356.6,4432,358.1,
Mitchell,357.1,4301,358.6,
Unicoi,357.7,4317,359.2,
Cherokee National Forest,358.0,4199,359.5,
Beauty Spot Gap,358.1,4104,359.6,
Unaka Mountain Rd,358.6,4455,360.1,
Unaka Mountain,359.8,5183,361.3,-
Low Gap,362.0,3894,363.5,
Big Ball,362.2,4045,363.7,
Cherry Gap,363.0,4002,364.5,
Cherry Gap,363.6,4009,365.1,
Piney Ball,363.8,4160,365.3,
Tennessee,364.4,4343,365.9,
Little Bald Knob,364.5,4288,366.0,
National Forests in North Carolina,365.3,3933,366.8,
Iron Mountain Gap,366.0,3713,367.5,
Carter,367.4,3973,368.9,
Piney Bald,369.9,4186,371.4,
Greasy Creek Rd,370.1,4028,371.6,
Iron Mountain,370.5,4160,372.0,
Clyde Smith Shelter,372.1,4494,373.7,-
Carter,372.4,4484,374.0,
North Carolina,372.5,4478,374.1,
Little Rock Knob,373.0,4917,374.6,
Cove Creek Road,375.2,4045,376.8,
Beartown Mountain,376.8,5485,378.4,
Ash Gap,377.1,5331,378.7,
Cloudlands,378.0,6194,379.6,
Toll House Gap,378.2,6108,379.8,
Roan High Knob,378.5,6171,380.1,
Carter,379.5,5738,381.1,
Mitchell,379.7,5649,381.3,
Carvers Gap,380.1,5469,381.7,
State Hwy 261,380.2,5505,381.8,
Round Bald,380.8,5803,382.4,
Engine Gap,381.2,5613,382.8,
Jane Bald,381.5,5803,383.1,
Avery,382.4,5839,384.0,
Yellow Mountain,383.0,5406,384.6,
Low Gap,383.4,5039,385.0,
Buckeye Gap,383.6,5160,385.2,
Yellow Mountain,383.7,5144,385.3,
Buckeye Gap,384.3,4734,385.9,
Overmountain Shelter,384.8,4780,386.4,-
Yellow Mountain Gap,385.2,4645,386.8,
Little Hump Mountain,387.0,5216,388.6,
North Carolina,387.6,4986,389.2,
Hump Mountain,388.5,5538,390.1,
Tennessee,390.9,4563,392.5,
Morgan Branch,391.4,4061,393.0,
Wilder Mine Hollow,393.1,3188,394.7,
Apple House,393.3,3021,394.9,
Buck Creek,393.8,2854,395.4,
State Rte 37,393.9,2854,395.5,-
Bear Branch Rd,394.1,2877,395.7,
Bear Branch,394.2,2870,395.8,
Carter,396.6,3651,398.3,
Buck Mountain Rd,397.1,3500,398.8,
Campbell Hollow Rd,397.4,3392,399.1,
Avery,399.6,2805,401.3,
Mountaineer Falls Shelter,402.4,3182,404.1,
Slide Hollow,403.7,3353,405.4,
Walnut Mountain Road,404.2,3605,405.9,
Laurel Fork,406.1,3264,407.8,
Howard Harrison Rd,407.1,3441,408.8,
Appalachian Trl,409.2,3595,410.9,
Appalachian Trl,410.2,3845,411.9,
Moreland Gap,411.3,3818,413.0,-
White Rocks Mountain,412.1,4232,413.8,
Appalachian Trl,414.0,4087,415.7,
Estep Rd,416.7,2493,418.4,
Big Branch,416.8,2490,418.5,
Pond Mountain Wilderness,417.1,2526,418.8,
Laurel Fork,417.5,2454,419.2,
Pond Mountain Wilderness,418.2,2089,419.9,
Laurel Fork,418.5,2168,420.2,
Laurel Fork Gorge,418.6,2040,420.3,
Laurel Fork,418.9,1981,420.6,
Waycoster Spring,419.0,1988,420.7,
Horseridge Gap,421.1,3300,422.9,
Shook Branch,425.0,2014,426.8,
Shook Branch Rd,425.1,2017,426.9,
Appalachian Trl,425.2,1975,427.0,
Watauga Lake,425.3,1952,427.1,-
Hampton  TN 37658,425.4,1958,427.2,
Appalachian Trl,425.8,1991,427.6,
Griffith Branch,426.5,2037,428.3,
Watauga Lake,426.8,2053,428.6,
Carter,426.9,2057,428.7,
Appalachian Trl,427.4,2060,429.2,
Watauga River,427.9,1975,429.7,
Appalachian Trl,428.2,2129,430.0,
Wilbur Dam Rd,429.2,2230,431.0,
Watauga Dam Road,429.3,2240,431.1,
Johnson,434.0,3536,435.8,
Johnson,435.8,3589,437.6,
Carter,435.9,3608,437.7,
Spring,437.9,3861,439.7,
Turkeypen Gap,439.2,3963,441.0,
Iron Mountain,440.9,4091,442.7,-
TN 91,445.3,3540,447.2,
TN 91/Cross Mountain,445.4,3507,447.3,
Osborne Rd,445.5,3500,447.4,
Osborne Rd,445.7,3559,447.6,
Carter,446.1,3579,448.0,
Johnson,447.2,3799,449.1,
Double Springs,448.5,4068,450.4,
Locust Knob,449.0,4002,450.9,
Jenkins Rd,450.6,3474,452.5,
State Rte 34,452.0,3382,453.9,
Locust Pole Knob,452.9,3658,454.8,
Double Spring Gap,454.0,3520,455.9,
McQueen Knob,455.3,3851,457.2,
McQueens Knob (Emergency Shelter),455.4,3851,457.3,
McQueen Gap,455.7,3664,457.6,
Sullivan,456.7,3848,458.6,
Abingdon Gap Shelter,456.8,3772,458.7,
Maple Spring Gap,457.0,3746,458.9,
Virginia,463.1,3228,465.0,-
George Washington and Jefferson National Forest,463.2,3198,465.1,
State Rte T-1203,466.3,1942,468.2,
S Beaver Dam Ave,466.4,1932,468.3,
Virginia Creeper Trl,466.7,1909,468.6,
State Rte T-1223,466.8,1922,468.7,
State Rte T-716,466.9,1925,468.8,
The Place,467.0,1925,468.9,
Laurel Creek,467.1,1919,469.0,
State Rte T1215,467.2,1961,469.2,
State Rte T-1209,467.3,1965,469.3,
Virginia Creeper Trl,467.4,1955,469.4,
Damascus VA,467.6,1991,469.6,
Jeb Stuart Hwy,467.8,2001,469.8,
The Cuckoo,469.7,2903,471.7,
Feathercamp Branch,472.3,2247,474.3,
US 58,472.4,2224,474.4,-
Straight Branch,472.5,2217,474.5,
Appalachian Trl,475.0,2847,477.0,
Saunders Shelter,476.2,3412,478.2,
Virginia Creeper Trl,480.4,2664,482.4,
Creek Junction Rd,481.0,2719,483.0,
Whitetop Laurel Creek,481.1,2713,483.1,
Grassy Ridge Rd,481.7,2910,483.7,
Lost Mountain,483.0,3392,485.0,-
Jeb Stuart Hwy,483.9,3152,485.9,
Star Hill Branch,484.0,3152,486.0,
Beech Mountain Rd,485.2,3520,487.2,
Washington,486.9,4589,488.9,
Smyth,487.5,4963,489.5,
Buzzard Rock,487.7,5091,489.7,
Grayson,488.4,5055,490.4,
USFS 89 (Whitetop Mountian Road),488.7,5088,490.7,
Elk Garden,491.0,4448,493.0,
Elk Garden Trl,491.1,4448,493.2,
Balsam Mountain,491.3,4599,493.4,
Lewis Fork Wilderness,491.5,4583,493.6,
Deep Gap,493.0,4901,495.1,
Thomas Knob,495.2,5410,497.3,
George Washington and Jefferson National Forest,495.8,5472,497.9,
